Id;Address_City;Address_Street;Address_House;Address_Number;MinPrice;MaxPrice;AgentId;ClientId;MinArea;MaxArea;MinRooms;MaxRooms;MinFloor;MaxFloor
1;;;;;;;4;23;;;;;;
2;Тюмень;;;;;3100000;7;5;20;;;;4;
3;Тюмень;Широтная;;;;;24;25;;;;;;
4;Тюмень;Пролетарская;;;;;1;26;;;;;;
5;Тюмень;Тараскульская;;;;;15;27;;;;;;
6;Тюмень;;;;;;19;28;60;;;;;
7;Тюмень;;;;;;4;29;;;;;4;
8;Тюмень;;;;;;7;30;;;;;;5
9;Тюмень;;;;;;9;31;;;2;;;
10;Тюмень;;;;;;11;32;;;3;;;
11;Тюмень;;;;;;13;33;30;;;;4;
12;Тюмень;;;;;;34;35;;;;;;
