Категория,Услуга,Цена
Подготовка,Первичный осмотр,500
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Масло в АКПП частичная замена с фильтром,1200
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Масло в АКПП частичная замена без замены фильтра,800
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Масло в ГУР замена,600
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Масло в МКПП замена,400
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Масло ДВС замена,500
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Охлаждающая жидкость замена,600
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Приводной ремень замена,300
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Промывка инжектора с заменой свечей (без промывочной жидкости),1200
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Проверка углов установки колес,600
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Регулировка углов установки колес 3D (передняя ось),1000
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Регулировка углов установки колес 3D (2 оси),1501
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Регулировка клапанов ,1000
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Ремень ГРМ замена,1300
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Свечи зажигания замена,300
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Тормозная жидкость замена,600
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Фильт топливный погружной замена,800
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Фильтр воздушный замена,200
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Фильтр салона замена,300
Эксплуатационные жидкости, расходные части и ремни, регулировочные работы,Фильтр топливный проточный замена,300
Система охлаждения двигателя,Термостат замена,1000
Система охлаждения двигателя,Водяной насос замена,1200
Система охлаждения двигателя,Радиатор системы охлаждения чистка/мойка,1500
Система охлаждения двигателя,Радиатор системы охлаждения замена,800
Климатическая система,Антибактериальная обработка системы кондиционирования,1200
Климатическая система,Кондиционер заправка (без стоимости хладагента) + (100 гр фреона 100 руб),1200
Тормозная система,Обслуживание тормозных механизмов,300
Тормозная система,Барабаны тормозные замена,600
Тормозная система,Цилиндр тормозной задний (1 шт) замена,600
Тормозная система,Цилиндр тормозной передний (1 шт) замена,600
Тормозная система,Тормозные колодки дисковые передние замена,700
Тормозная система,Тормозные колодки дисковые задние замена,700
Тормозная система,Тормозные колодки барабанные замена,1100
Тормозная система,Тормозные диски передние замена,1200
Тормозная система,Тормозные диски задние замена,1200
Рулевое управление,Рулевая тяга (1 шт) замена,400
Рулевое управление,Рулевой наконечник (1 шт) замена,300
Рулевое управление,Рулевой механизм замена,1500
Выхлопная система,Глушитель основной замена,500
Выхлопная система,Гофра дополнительного глушителя замена ,1800
Выхлопная система,Приемная труба/катколлектор,800
Подвеска автомобиля,Амортизатор задний замена,500
Подвеска автомобиля,Амортизатор передний замена,1000
Подвеска автомобиля,Верхний рычаг передней подвески замена,1000
Подвеска автомобиля,Верхняя опора амортизатора,1000
Подвеска автомобиля,Втулки стабилизатора (перед) замена,400
Подвеска автомобиля,Нижний рычаг передней подвески ,1000
Подвеска автомобиля,Стойка стабилизатора передняя (2 шт),600
Подвеска автомобиля,Шаровая опора замена,300
Трансмиссия,АКПП снятие/установка,3000
Трансмиссия,Вал приводной в сборе замена,800
Трансмиссия,Замена внтур./наружнего шруса/чехла приводного вала,1000
Трансмиссия,МКПП снятие/установка,2500
Трансмиссия,Подшипник задней ступицы замена,800
Трансмиссия,Подшипник передней ступицы замена,1000
Трансмиссия,Ремонт АКПП,10000
Трансмиссия,Ремонт МКПП,3000
Трансмиссия,Ступица колеса замена,1000
Трансмиссия,Сцепление к-кт замена,2900
"Электрооборудование/Диагностика,""Компьютерная диагностика двигателя, сброс ошибок"",600"
Электрооборудование/Диагностика,Автомагнитола установка,500
Электрооборудование/Диагностика,Аккустическая система перед. установка,800
Электрооборудование/Диагностика,Аккустическая система перед/зад установка,1400
Электрооборудование/Диагностика,Генератор замена,600
Электрооборудование/Диагностика,Замена предохранителя,100
Электрооборудование/Диагностика,Звуковой сигнал замена,300
Электрооборудование/Диагностика,Лампа наружнего освещения,100
Электрооборудование/Диагностика,Мотор отопителя замена,500
Электрооборудование/Диагностика,Насос омывателя замена,300
Электрооборудование/Диагностика,Поиск неисправности электрооборудования ,400
Электрооборудование/Диагностика,Стартер замена,600
Кузов автомобиля,Замена фары/зад фонаря,400
Кузов автомобиля,Обивка двери снятие/установка,300
Кузов автомобиля,Прицепное устройство установка,3000
Кузов автомобиля,Стекло вклейка (без материалов),2500
Кузов автомобиля,Стекло с уплотнителем замена,1000
Кузов автомобиля,Стекло фары замена,1000
Шиномонтаж. Сезонное хранение,Балансировка (4 шт) со снятием/установкой,500
"Шиномонтаж. Сезонное хранение,""Замена шин с балансировкой (4 шт) R 13,14"",1000"
"Шиномонтаж. Сезонное хранение,""Замена шин с балансировкой (4 шт) R 15,16"",1300"
"Шиномонтаж. Сезонное хранение,""Замена шин с балансировкой (4 шт) R 17,18"",1600"
"Шиномонтаж. Сезонное хранение,""Замена шин с балансировкой (4 шт) R 19,20"",1900"
Шиномонтаж. Сезонное хранение,Колесо снятие/установка,50
Шиномонтаж. Сезонное хранение,Сезонное хранение к-кта шин,700
Шиномонтаж. Сезонное хранение,Устранение 1 прокола в бескамерной шине,150
